name,bytes,bpc,wall,rss_kb,ec,defines
dsp_kitchen,10326,2.5210,31.81,3473920,0,-DFX2_WALSH4=1 -DFX2_PARITY8=1 -DFX2_DSP_DELTA=1 -DFX2_BOOL_XOR=1 -DFX2_BOOL_PROD=1
l2_003,9240,2.2559,31.44,3473920,0,-DFX2_L2_LR=0.003f
xor_prod,9683,2.3640,32.13,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_PROD=1
anti_ufa,9249,2.2581,15.92,3458560,0,-DFX2_TINY_LSTM=1 -DFX2_L1_SCALE=4.0f
nat_skip01,28898,7.0552,27.77,3473920,0,-DFX2_NATGRAD=1 -DFX2_SKIP_ERR=0.01f
nodeclay,9165,2.2375,31.02,3473920,0,-DFX2_NO_DECAY=1
fullbool,10572,2.5811,32.36,3473408,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_AND=1 -DFX2_BOOL_OR=1 -DFX2_BOOL_PROD=1 -DFX2_BOOL_MAJ=1
ppm16,9165,2.2375,29.75,3473920,0,-DFX2_PPM_MEM=16
walsh_c256,9785,2.3889,36.73,3478528,0,-DFX2_WALSH4=1 -DFX2_LSTM_CELLS=256
flatlr,9154,2.2349,29.39,3473920,0,-DFX2_FLAT_LR=1
xor_k6_skip01,9684,2.3643,26.94,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_SKIP_ERR=0.01f
ppm64,9165,2.2375,30.96,3473408,0,-DFX2_PPM_MEM=64
nat_c256,28906,7.0571,38.82,3478528,0,-DFX2_NATGRAD=1 -DFX2_LSTM_CELLS=256
skip01_l1x05,9228,2.2529,30.97,3473920,0,-DFX2_SKIP_ERR=0.01f -DFX2_L1_SCALE=0.5f
rm_k8_c256,10839,2.6462,40.11,3478528,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_AND=1 -DFX2_BOOL_K=8 -DFX2_LSTM_CELLS=256
ppm256,9165,2.2375,31.13,3473408,0,-DFX2_PPM_MEM=256
walsh_tiny,9813,2.3958,15.71,3458560,0,-DFX2_WALSH4=1 -DFX2_TINY_LSTM=1
skip01_nodeclay,9164,2.2373,29.97,3473920,0,-DFX2_SKIP_ERR=0.01f -DFX2_NO_DECAY=1
xor_tiny,9723,2.3738,16.79,3458560,0,-DFX2_BOOL_XOR=1 -DFX2_TINY_LSTM=1
lr08_h32,9134,2.2300,32.05,3465728,0,-DFX2_LSTM_LR=0.08f -DFX2_LSTM_HORIZON=32
